section,score
Section A,77.2
Section A,83.7
Section A,87.7
Section A,81.7
Section A,87.7
Section A,97.8
Section A,77.1
Section A,71.2
Section A,88.8
Section A,91.4
Section A,83.7
Section A,77.5
Section A,72.0
Section A,76.4
Section A,85.1
Section A,85.8
Section A,95.7
Section A,87.6
Section A,82.2
Section A,77.6
Section A,91.7
Section A,83.7
Section A,82.8
Section A,72.4
Section A,93.4
Section A,88.9
Section A,84.7
Section A,87.9
Section A,80.5
Section A,80.6
Section A,84.9
Section A,79.6
Section A,89.3
Section A,91.0
Section A,75.6
Section A,84.7
Section A,93.6
Section A,90.5
Section A,68.3
Section A,91.8
Section B,64.6
Section B,87.6
Section B,81.7
Section B,62.7
Section B,71.1
Section B,83.1
Section B,75.8
Section B,87.9
Section B,78.1
Section B,78.1
Section B,89.4
Section B,87.1
Section B,98.9
Section B,75.8
Section B,68.2
Section B,65.8
Section B,92.3
Section B,78.3
Section B,78.4
Section B,75.8
Section B,82.8
Section B,84.4
Section B,65.2
Section B,59.2
Section B,73.5
Section B,77.9
Section B,67.3
Section B,92.4
Section B,54.1
Section B,91.8
Section B,73.3
Section B,94.1
Section B,75.4
Section B,73.3
Section B,67.5
Section B,84.9
Section B,85.5
Section B,69.4
Section C,83.8
Section C,92.6
Section C,87.3
Section C,81.5
Section C,92.7
Section C,85.2
Section C,83.3
Section C,91.2
Section C,83.1
Section C,88.3
Section C,92.3
Section C,90.8
Section C,92.8
Section C,86.5
Section C,89.4
Section C,89.3
Section C,89.1
Section C,81.0
Section C,91.6
Section C,90.5
Section C,88.1
Section C,85.9
Section C,90.4
Section C,86.1
Section C,91.8
Section C,91.8
Section C,84.0
Section C,85.0
Section C,89.7
Section C,79.8
Section C,86.7
Section C,89.4
Section C,84.3
Section C,91.2
Section C,86.2
Section C,83.7
Section C,90.2
Section C,84.1
Section C,87.2
Section C,85.4
Section C,85.5
Section C,81.7
Section D,36.2
Section D,66.8
Section D,64.7
Section D,60.1
Section D,92.6
Section D,83.3
Section D,64.8
Section D,81.9
Section D,71.8
Section D,69.2
Section D,85.6
Section D,64.2
Section D,82.3
Section D,63.4
Section D,51.1
Section D,74.6
Section D,47.2
Section D,73.8
Section D,44.4
Section D,56.8
Section D,71.0
Section D,72.9
Section D,68.6
Section D,73.3
Section D,90.6
Section D,79.3
Section D,57.1
Section D,70.6
Section D,68.3
Section D,61.0
Section D,50.2
Section D,78.0
Section D,78.8
Section D,81.3
Section D,81.2
Section D,57.0
