track,energy,danceability,popularity
Track 01,0.386,0.56,41
Track 02,0.688,0.52,83
Track 03,0.21,0.59,42
Track 04,0.977,0.826,97
Track 05,0.852,0.767,76
Track 06,0.695,0.845,66
Track 07,0.608,0.751,64
Track 08,0.791,0.782,73
Track 09,0.435,0.38,65
Track 10,0.761,0.882,65
Track 11,0.757,0.897,58
Track 12,0.547,0.798,76
Track 13,0.886,0.632,88
Track 14,0.953,0.801,93
Track 15,0.689,0.615,59
Track 16,0.474,0.621,57
Track 17,0.656,0.84,57
Track 18,0.868,0.98,56
Track 19,0.724,0.577,93
Track 20,0.906,0.83,60
Track 21,0.757,0.613,83
Track 22,0.422,0.387,41
Track 23,0.866,0.979,100
Track 24,0.52,0.47,72
Track 25,0.429,0.672,58
Track 26,0.679,0.508,68
Track 27,0.76,0.663,100
Track 28,0.594,0.847,42
Track 29,0.442,0.402,54
Track 30,0.354,0.49,49
Track 31,0.676,0.551,93
Track 32,0.445,0.756,63
Track 33,0.899,0.751,69
Track 34,0.702,0.739,75
Track 35,0.636,0.716,81
Track 36,0.536,0.706,56
Track 37,0.385,0.463,67
Track 38,0.628,0.468,65
Track 39,0.524,0.644,77
Track 40,0.693,0.521,73
Track 41,0.689,0.681,66
Track 42,0.751,0.821,64
Track 43,0.217,0.283,29
Track 44,0.396,0.53,26
Track 45,0.662,0.609,62
Track 46,0.488,0.632,67
Track 47,0.434,0.518,56
Track 48,0.644,0.766,65
Track 49,0.442,0.46,59
Track 50,0.346,0.497,42
Track 51,0.744,0.563,69
Track 52,0.85,0.75,90
Track 53,0.867,0.651,73
Track 54,0.89,0.776,98
Track 55,0.376,0.386,44
Track 56,0.829,0.9,78
Track 57,0.343,0.433,56
Track 58,0.829,0.703,63
Track 59,0.301,0.417,50
Track 60,0.47,0.552,49
Track 61,0.527,0.578,67
Track 62,0.204,0.629,38
Track 63,0.886,0.988,56
Track 64,0.923,0.701,97
Track 65,0.782,0.875,69
Track 66,0.425,0.499,43
Track 67,0.377,0.366,44
Track 68,0.832,0.584,74
Track 69,0.905,0.88,100
Track 70,0.902,0.832,72
Track 71,0.21,0.553,47
Track 72,0.717,0.719,81
Track 73,0.523,0.787,53
Track 74,0.397,0.693,46
Track 75,0.572,0.749,59
Track 76,0.617,0.785,73
Track 77,0.334,0.633,69
Track 78,0.842,0.574,70
Track 79,0.69,0.84,80
Track 80,0.409,0.566,57
